Calle 1,Calle 2,Latitud,Longitud
avenida jose granda,paz soldan,-12.025.408,-77.077.318
avenida jose granda,jiron pedro irigoyen,-12.025.518,-77.076.689
avenida jose granda,miguel aljovin,-12.025.789,-77.076.260
avenida jose granda,avenida universitaria,-12.026.442,-77.075.545
manuel telleria,avenida jose granda,-12.020.334,-77.088.087
avenida 12 de octubre,avenida jose granda,-12.021.393,-77.086.191
jose galvez,avenida jose granda,-12.021.456,-77.085.779
manuel bonilla,avenida jose granda,-12.021.989,-77.084.953
toribio de luzuriaga,avenida jose granda,-12.022.038,-77.084.546
jiron sergio bernales,avenida jose granda,-12.022.597,-77.083.714
alameda canta,avenida jose granda,-12.022.684,-77.083.253
jose maria barreto,avenida jose granda,-12.023.091,-77.082.684
emilio de la barrera,avenida jose granda,-12.023.309,-77.082.250
jiron pedro silva,avenida jose granda,-12.023.545,-77.081.497
oscar bernechea,avenida jose granda,-12.023.909,-77.081.025
navarro del agulla,avenida jose granda,-12.024.096,-77.080.620
jiron victor navarro,avenida jose granda,-12.023.999,-77.080.516
jiron enrique arnaez,avenida jose granda,-12.024.775,-77.078.979
jiron guillermo ramsey,avenida jose granda,-12.024.992,-77.078.136
calle german aparicio gomez sanchez,avenida jose granda,-12.025.139,-77.077.662
paz soldan,avenida jose granda,-12.025.408,-77.077.318
jiron pedro irigoyen,avenida jose granda,-12.025.518,-77.076.689
miguel aljovin,avenida jose granda,-12.025.789,-77.076.260
avenida universitaria,avenida jose granda,-12.026.442,-77.075.545
avenida naranjal,calle las orquideas,-11.968.477,-77.092.966
avenida naranjal,jircan,-11.970.395,-77.091.021
avenida naranjal,san sebastian,-11.972.382,-77.088.940
calle e,los pacaes,-11.960.029,-77.102.936
calle e,avenida el sauce,-11.961.257,-77.104.261
calle 28 de mayo,los alelis,-11.964.707,-77.094.784
calle 28 de mayo,las cantutas,-11.964.106,-77.093.959
calle llata,avenida tantamayo,-11.970.154,-77.087.066
jiron las americas,circa las dalias,-11.970.585,-77.094.846
los canamos,avenda san jose,-11.973.720,-77.096.054
calle las esmeraldas,calle los pinos,-11.974.782,-77.096.481
las orquideas,los ficus,-11.965.314,-77.110.266
calle los jazmines,calle las palmeras,-11.972.114,-77.116.949
los geranios 1,calle las palmeras,-11.972.896,-77.117.708
avenida alejandro bertello bollati,avenida tomas valle,-12.019.593,-77.101.502
calle las perlas,calle los topacios,-11.975.770,-77.095.148
calle las perlas,calle los pinos,-11.974.632,-77.096.312
las margaritas,las dalias,-11.981.549,-77.110.429
santa maria,las dalias,-11.980.641,-77.111.512
tumbes,san antonio,-11.983.188,-77.113.080
san juan,avenida antigua de pacasmayo,-11.983.130,-77.109.896
calle carhuaz,calle caraz,-11.976.398,-77.092.274
calle las margaritas,calle las palmeras,-11.972.376,-77.117.211
avenida canada,pucara,-11.998.174,-77.118.054
pasaje tambomachay,pasaje madre de dios,-11.995.830,-77.117.611
pasaje tambomachay,pasaje abancay,-11.996.242,-77.117.460
pucura,pasaje abancay,-11.997.741,-77.119.204
pucura,pasaje madre de dios,-11.997.576,-77.119.598
pasaje jorge colque,pasaje abancay,-11.998.713,-77.119.707
avenida san juan macias,pasaje abancay,-11.999.074,-77.119.833
pasaje tumbes,pucara,-11.998.633,-77.117.672
pasaje tumbes,pasaje jose frizancho,-11.997.842,-77.116.436
alisos,rosales,-12.002.585,-77.112.154
avenida boca negra,avenida los nenufares,-12.007.273,-77.100.418
avenida boca negra,avenida independencia,-12.004.137,-77.094.770
los pinos,rosales,-12.003.866,-77.111.546
avenida los proceres,avenida tomas valle,-12.012.224,-77.087.204
avenida los proceres,calle cesar vallejo,-12.014.355,-77.086.945
avenida los proceres,avenida german aguirre,-12.017.039,-77.086.613
avenida los proceres,torre tagle,-12.017.545,-77.086.713
auxiliar avenida angelica gamarra,jiron vizcardo y guzman,-12.010.112,-77.088.524
auxiliar avenida angelica gamarra,avenida 12 de octubre,-12.009.450,-77.087.756
avenida angelica gamarra,calle los libertadores,-12.011.351,-77.089.961
avenida angelica gamarra,jiron vizcardo y guzman,-12.010.192,-77.088.476
avenida angelica gamarra,avenida 12 de octubre,-12.009.426,-77.087.749
auxiliar avenida tomas valle,jiron las codornices,-12.012.017,-77.089.270
avenida tomas valle,jiron las codornices,-12.011.646,-77.089.304
avenida tomas valle,calle pedro unanue,-12.012.928,-77.082.643
avenida tomas valle,avenida universitaria,-12.012.811,-77.079.082
avenida el olivar,jiron los codornices,-12.013.816,-77.088.108
avenida el olivar,margaritas,-12.014.097,-77.088.317
jiron los codornices,avenida tomas valle,-12.011.877,-77.089.300
jiron los codornices,auxiliar avenida tomas valle,-12.011.410,-77.089.384
jiron los codornices,el jilguero,-12.013.357,-77.088.405
jiron los codornices,avenida el olivar,-12.013.506,-77.087.186
jiron los codornices,margaritas,-12.014.552,-77.087.692
jiron los codornices,los tumbos,-12.014.751,-77.087.603
jiron los codornices,avenida condevilla,-12.015.827,-77.087.370
jiron los codornices,calle las retamas,-12.014.526,-77.087.642
calle cesar vallejo,avenida los proceres,-12.014.355,-77.086.945
calle cesar vallejo,calle los quinuales,-12.014.304,-77.086.487
calle cesar vallejo,jose santos chocano,-12.014.935,-77.084.090
calle cesar vallejo,pedro ruiz gallo,-12.015.604,-77.082.300
calle cesar vallejo,luis alberto sanchez,-12.015.750,-77.081.862
calle las retamas,jiron los codornices,-12.014.526,-77.087.642
calle las retamas,margaritas,-12.014.541,-77.087.658
jiron los sauces,calle los quinuales,-12.015.650,-77.086.337
jiron pedro genaro delgado,torre tagle,-12.017.067,-77.088.297
jiron pedro genaro delgado,andres avelino caceres,-12.017.431,-77.088.544
jiron pedro genaro delgado,thomas cochrane,-12.019.075,-77.089.591
jiron pedro genaro delgado,avenida jose granda,-12.019.485,-77.089.798
avenida german aguirre,jose santos chocano,-12.017.190,-77.084.971
avenida german aguirre,clemente palma,-12.019.553,-77.078.275
avenida german aguirre,jiron isolina soto,-12.019.627,-77.076.814
avenida german aguirre,avenida universitaria,-12.019.375,-77.076.334
torre tagle,avenida los proceres,-12.017.555,-77.086.722
torre tagle,jiron leonardo ortiz salcedo,-12.017.616,-77.087.187
torre tagle,jiron pedro genaro delgado,-12.017.054,-77.088.306
domingo nieto,jose santos chocano,-12.018.016,-77.085.295
arnaldo marquez,pedro bermudez,-12.018.316,-77.085.912
arnaldo marquez,agustin gamarra,-12.018.442,-77.085.467
ignacio alvarez thomas,pedro bermudez,-12.019.317,-77.085.803
ignacio alvarez thomas,jose galvez,-12.019.421,-77.084.949
ignacio alvarez thomas,jiron leonardo ortiz salcedo,-12.019.443,-77.086.946
jiron jose maria cordova,jose galvez,-12.019.884,-77.085.143
jiron jose maria cordova,quijano lazo,-12.020.035,-77.084.726
jiron jose maria cordova,mendiburu y bonet,-12.020.189,-77.084.316
avenida jose granda,jiron pedro genaro delgado,-12.019.498,-77.089.820
avenida jose granda,jose m eguren,-12.019.932,-77.088.880
jiron pedro genaro delgado,avenida jose granda,-12.019.498,-77.089.820
jose m eguren,avenida jose granda,-12.019.932,-77.088.880
